n_moduladores,carbono_log2_estados,modulacion_log2
0,32900.0,0.0
10,32933.21928094888,33.219280948873624
20,32966.43856189775,66.43856189774725
30,32999.657842846624,99.65784284662087
40,33032.87712379549,132.8771237954945
50,33066.09640474437,166.0964047443681
60,33099.31568569324,199.31568569324173
70,33132.53496664212,232.53496664211536
80,33165.75424759099,265.754247590989
90,33198.973528539864,298.97352853986257
100,33232.19280948873,332.1928094887362
