paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
255,0.9935552553672627,0.00787766727400966,1.0,0.0
256,0.9916497765909993,0.008014824678409943,1.0,0.0
257,0.9936362989976383,0.007813607597911023,1.0,0.0
258,0.9903243233490281,0.007325001689923516,1.0,0.0
259,0.9934167040059857,0.006096996260946194,1.0,0.0
260,0.9933950454005377,0.006697617689711551,1.0,0.0
261,0.9918563035827499,0.010420089748726083,1.0,0.0
262,0.9975273103865058,0.005774100266555121,1.0,0.0
263,0.993321603920664,0.00835202496151473,1.0,0.0
264,0.9932429856723419,0.008675351687322986,1.0,0.0
265,0.9962702694873916,0.006211712614286165,1.0,0.0
266,0.9940521108837813,0.006715739344196805,1.0,0.0
267,0.9921485750812016,0.007392166264562183,1.0,0.0
268,0.9953353705694505,0.0072355225833793824,1.0,0.0
269,0.9967799829706859,0.0071938759467281175,1.0,0.0
270,0.9900658611180191,0.010442738268230667,1.0,0.0
271,0.9933275870657279,0.008023284160569782,1.0,0.0
272,0.992242011557189,0.008699635808957077,1.0,0.0
273,0.9920401253891847,0.006550045139257796,1.0,0.0
274,0.9957592877340913,0.006459924070027665,1.0,0.0
275,0.9920783012899149,0.007714386530574724,1.0,0.0
276,0.9946709502359159,0.0064147990617332016,1.0,0.0
277,0.9939195806441193,0.007356493921249398,1.0,0.0
278,0.9938377920988678,0.011580628168410358,1.0,0.0
279,0.9930221662045718,0.012789511819488772,1.0,0.0
280,0.9937170389486418,0.006960391399337194,1.0,0.0
281,0.9901004289607415,0.00893866002167002,1.0,0.0
282,0.994060609408749,0.008197417850575806,1.0,0.0
283,0.9941560715542003,0.007618874075718545,1.0,0.0
284,0.9929053517655153,0.0068629536821313945,1.0,0.0
285,0.9900687397397565,0.009268891515461574,1.0,0.0
286,0.9904006283026594,0.00818798648918156,1.0,0.0
287,0.9890247128240387,0.011262292709024437,1.0,0.0
288,0.9918339522851949,0.008520914645410405,1.0,0.0
289,0.9954316030332172,0.00754106397661774,1.0,0.0
290,0.9928441461042822,0.007419332967920715,1.0,0.0
291,0.9937694476380864,0.007619599226402955,1.0,0.0
292,0.9934343396696587,0.008568163777807824,1.0,0.0
293,0.9943155371892528,0.0054640811949674024,1.0,0.0
294,0.992226460561156,0.010645251912077498,1.0,0.0
295,0.9935155419484882,0.008209086389870838,1.0,0.0
296,0.9913686067622206,0.010325846809222593,1.0,0.0
297,0.9932125769828434,0.010349499064318791,1.0,0.0
298,0.9940205969197038,0.009520263141270083,1.0,0.0
299,0.9935190108424695,0.009933765939412729,1.0,0.0
300,0.9927471643433301,0.007914970494679036,1.0,0.0
301,0.9941184280304832,0.007097004062691663,1.0,0.0
302,0.9943295282443688,0.006941252306127573,1.0,0.0
303,0.9932279952102409,0.007095390739496314,1.0,0.0
304,0.9903637700786009,0.009796742358986837,1.0,0.0
305,0.9923995640213671,0.008218545365378136,1.0,0.0
306,0.9934338991005633,0.007823811498008327,1.0,0.0
307,0.9895195683400343,0.007976686659744573,1.0,0.0
308,0.9944408289818414,0.00645996973237751,1.0,0.0
309,0.9930234862309671,0.005970781041161084,1.0,0.0
310,0.9948001850319734,0.007636288467562869,1.0,0.0
311,0.9931557680139638,0.010270907161633607,1.0,0.0
312,0.988895914963182,0.012233372079869525,1.0,0.0
313,0.9935108276204326,0.008299056986695143,1.0,0.0
314,0.9934009902034276,0.009597377413269352,1.0,0.0
315,0.9921549667919162,0.008028449900823516,1.0,0.0
316,0.9945523941951486,0.008264720680213108,1.0,0.0
317,0.9922056648084552,0.009510266558632083,1.0,0.0
318,0.9934814316442578,0.007435633647951911,1.0,0.0
319,0.9935626354769184,0.010279992237427175,1.0,0.0
320,0.9905555041361245,0.010482635437666976,1.0,0.0
321,0.9938255874441007,0.006940672469334451,1.0,0.0
322,0.9953944782575141,0.006439804492672464,1.0,0.0
323,0.9921858666683504,0.00807338679552256,1.0,0.0
324,0.9946787119847337,0.006408142659001907,1.0,0.0
325,0.9904354933873432,0.011523393775127969,1.0,0.0
326,0.9933230352928625,0.008943004586637233,1.0,0.0
327,0.9933334932527624,0.008652306858645131,1.0,0.0
328,0.9934683492959427,0.008619699951107904,1.0,0.0
329,0.9904663741912775,0.007708915686790836,1.0,0.0
330,0.9908838235667864,0.00748641155319724,1.0,0.0
331,0.9937150087558898,0.007071513251417461,1.0,0.0
332,0.9911426456893131,0.010199483301718468,1.0,0.0
333,0.9870728625681947,0.009841536022341805,1.0,0.0
334,0.9904140457244558,0.008965402877049052,1.0,0.0
335,0.9931883001008277,0.007992703638216745,1.0,0.0
336,0.9906292994705984,0.009046967148769637,1.0,0.0
337,0.9944140349315013,0.009004957640667466,1.0,0.0
338,0.9906011962316518,0.007679049338788912,1.0,0.0
339,0.9906665192968594,0.006952238482589376,1.0,0.0
340,0.994008349616622,0.007284818315320389,1.0,0.0
341,0.9903942306530213,0.007694755084932984,1.0,0.0
342,0.9898805386217707,0.010489946076222929,1.0,0.0
343,0.9911032661447744,0.009150944421343734,1.0,0.0
344,0.9941500329440859,0.006542741274462944,1.0,0.0
345,0.9893866998328179,0.010933085878068346,1.0,0.0
346,0.9934347898652524,0.010526946421362328,1.0,0.0
347,0.9929828095736032,0.0061459976235839165,1.0,0.0
348,0.9924401216301096,0.008958374234687889,1.0,0.0
349,0.9922515921868807,0.008697342748091003,1.0,0.0
350,0.9904619742299111,0.009097458181285796,1.0,0.0
351,0.9906325076542668,0.010168563025470338,1.0,0.0
352,0.9934136318348258,0.006272439838505905,1.0,0.0
353,0.9931444261482523,0.007051705336101394,1.0,0.0
354,0.9903733932202724,0.010089462575800491,1.0,0.0
355,0.9924885441889287,0.007448443288457693,1.0,0.0
356,0.9950588747289357,0.007062423938227005,1.0,0.0
357,0.9922174786992976,0.006977791108024848,1.0,0.0
358,0.9945332196103603,0.006518393538487744,1.0,0.0
359,0.991678240759188,0.006362671355699,1.0,0.0
360,0.9940014656654944,0.006670361284183637,1.0,0.0
361,0.9928918478280012,0.00692259443167019,1.0,0.0
362,0.9916257036678785,0.007934639195756498,1.0,0.0
363,0.9901850807005202,0.00781780254073635,1.0,0.0
364,0.9924027158830974,0.007360003891456855,1.0,0.0
365,0.9948055342339961,0.0072828395031848455,1.0,0.0
366,0.9928469637786228,0.007282223411814988,1.0,0.0
367,0.9951584507615318,0.006735775117649662,1.0,0.0
368,0.9930040043182534,0.007808766642268618,1.0,0.0
369,0.9945443569291661,0.008138077561286918,1.0,0.0
370,0.9946435521514845,0.00798453497914693,1.0,0.0
371,0.9909387976722309,0.006541197931024234,1.0,0.0
372,0.9935752070917799,0.005787582223303001,1.0,0.0
373,0.9928817183816764,0.00690372322747492,1.0,0.0
374,0.9966716413214302,0.00473656349150319,1.0,0.0
375,0.9955225919394057,0.006162279320178366,1.0,0.0
376,0.9918596410304449,0.009985552857548133,1.0,0.0
377,0.993433466740563,0.006193302728298307,1.0,0.0
378,0.9942510854991519,0.006408333291316888,1.0,0.0
379,0.9927942526329404,0.0061654890310497,1.0,0.0
380,0.9942400956761982,0.0077413621601191826,1.0,0.0
381,0.9904629000972286,0.009711846166696134,1.0,0.0
382,0.9909207228435079,0.01077445361947784,1.0,0.0
383,0.9913635987399839,0.01029093630283954,1.0,0.0
384,0.989482611255359,0.008908862017124833,1.0,0.0
385,0.9931853383787601,0.00928112986819601,1.0,0.0
386,0.990606160704334,0.010015001721104028,1.0,0.0
387,0.9911375738645266,0.009694529477866509,1.0,0.0
388,0.9919749668931926,0.008700998773542159,1.0,0.0
