crosstalk_densa,crosstalk_esparcida
0.8010956175298805,0.014035087719298244
0.8001741726797711,0.0062499999999999995
0.7996262148018938,0.008035714285714285
0.798505603985056,0.009259259259259259
0.7998508946322067,0.012
0.800124626121635,0.008749999999999999
0.8014077425842133,0.009
0.7986920777279521,0.011956521739130432
0.8001616915422887,0.010784313725490194
0.8002374999999999,0.015116279069767442
0.8011360767482959,0.005555555555555556
0.7988273453093814,0.010714285714285714
0.7997738125157074,0.010465116279069767
0.7984491315136477,0.01020408163265306
0.8006243756243755,0.010416666666666666
0.802004482071713,0.014150943396226415
0.8004348906560637,0.010638297872340425
0.8024246231155778,0.011363636363636364
0.7988605058852991,0.011111111111111112
0.7992844589505399,0.016666666666666666
0.7968625992063494,0.011666666666666667
0.7985985985985986,0.013461538461538464
0.7989826676714393,0.010185185185185184
0.8009270859433727,0.008771929824561403
0.8004589431902753,0.006818181818181818
0.7991385675609155,0.007971014492753625
0.8015110230369086,0.016363636363636365
0.7998024691358023,0.008108108108108109
0.7984476715072608,0.013414634146341465
0.7996609743847313,0.010784313725490194
0.8031438631790744,0.01
0.8008237643534697,0.014166666666666666
0.7984776640878463,0.011016949152542373
0.8003417721518987,0.01111111111111111
0.7995510102269892,0.01
0.7989560029828486,0.010227272727272727
0.8000876973189677,0.008490566037735849
0.8031257845844839,0.015714285714285715
0.802537050992213,0.016129032258064516
0.7992509363295881,0.013043478260869565
0.7988614103819784,0.01090909090909091
0.8020697441043652,0.010256410256410255
0.7994031335488685,0.006097560975609756
0.800760219341974,0.013000000000000001
0.7976338729763387,0.010416666666666668
0.8011982026959561,0.007692307692307693
0.7995155279503106,0.013999999999999999
0.7994001499625093,0.010869565217391302
0.7967947118982289,0.011
0.7997755051134947,0.00784313725490196
0.8013930722891567,0.011764705882352941
0.8002243829468961,0.00909090909090909
0.799304520615996,0.006363636363636363
0.8000373227170938,0.01346153846153846
0.7978321149483236,0.009574468085106383
0.8002898916057474,0.013492063492063491
0.7990461847389558,0.010576923076923078
0.8003874999999999,0.010227272727272727
0.798032581453634,0.00851063829787234
0.8009918175055791,0.008695652173913044
0.8003646881287725,0.02027027027027027
0.7997887148893861,0.008823529411764706
0.7996990972918756,0.008695652173913044
0.7990284005979074,0.009558823529411765
0.7996203492786637,0.013333333333333332
0.7987083019814396,0.003
0.7986048265460032,0.01
0.8015667744342204,0.013725490196078433
0.7965763732129421,0.009615384615384614
0.8011252813203299,0.015384615384615385
0.8017150063051701,0.005172413793103449
0.8012929952297265,0.014634146341463417
0.8000756048387097,0.01372549019607843
0.7998126873126872,0.00982142857142857
0.7997877652933834,0.016666666666666663
0.7975761421319798,0.011842105263157893
0.7998377838782131,0.008108108108108109
0.8,0.008333333333333333
0.7980392156862745,0.009999999999999998
0.7990599147656055,0.006666666666666666
0.8005402010050251,0.008823529411764706
0.8015336658354115,0.01440677966101695
0.7997607655502392,0.017592592592592587
0.8019423558897243,0.009782608695652175
0.8013353489543965,0.010714285714285714
0.8000870430241234,0.006603773584905661
0.7996364092276831,0.013333333333333332
0.7999749937484373,0.012222222222222223
0.7987528061860812,0.006
0.7993355065195586,0.010714285714285713
0.7992494370778083,0.004807692307692308
0.7986327145007527,0.007142857142857143
0.8001504513540623,0.014150943396226415
